# Seismic waveform · 100 Hz · 20 seconds · 2000 samples
# Synthetic teleseismic record · modelled on 2011 Tohoku Mw 9.1 (IRIS DMC)
# Boore & Atkinson (2008) Earthquake Spectra 24(1):99. doi:10.1193/1.2830434
# Events: pre-event noise | P-wave @5s | S-wave @8s | surface waves @12s
time_s,displacement_um
2.68,0.002965
2.69,0.003392
2.7,-0.005104
2.71,0.000275
2.72,0.006621
2.73,-0.001263
2.74,-0.000201
2.75,0.007267
2.76,-0.003709
2.77,-0.012134
2.78,0.003135
2.79,-0.002932
2.8,-0.000859
2.81,0.002515
2.82,-0.007594
2.83,-0.003635
2.84,-0.012878
2.85,0.000651
2.86,-0.006371
2.87,-0.010684
2.88,7e-06
2.89,-0.010986
2.9,-0.004545
2.91,-0.000511
2.92,0.001311
2.93,0.000438
2.94,-0.004762
2.95,0.002
2.96,0.002299
2.97,-0.002486
2.98,-0.002259
2.99,-0.00295
3.0,-0.005298
3.01,-0.004273
3.02,0.003039
3.03,0.00206
3.04,0.003828
3.05,-0.00685
3.06,0.002252
3.07,-0.00139
3.08,0.001418
3.09,-0.002569
3.1,0.004815
3.11,0.006696
3.12,0.001358
3.13,-0.001321
3.14,-0.006388
3.15,0.000647
3.16,-0.005591
3.17,-0.002465
3.18,0.001711
3.19,-0.000596
3.2,0.007853
3.21,0.006334
3.22,0.000547
3.23,0.000177
3.24,7.2e-05
3.25,0.004865
3.26,0.007552
3.27,-0.001387
3.28,0.008623
3.29,0.002732
3.3,0.014374
3.31,0.000185
3.32,0.000387
3.33,0.009081
3.34,-0.006559
3.35,0.00136
3.36,-0.005913
3.37,-0.000796
3.38,-0.011508
3.39,-0.008923
3.4,0.003781
3.41,-0.00201
3.42,0.000585
3.43,-0.005614
3.44,-0.012908
3.45,-0.008221
3.46,0.007577
3.47,-0.000786
3.48,-0.001953
3.49,-0.001704
3.5,0.001079
3.51,-0.008563
3.52,-0.009464
3.53,0.001122
3.54,-0.004026
3.55,0.006268
3.56,0.00547
3.57,-0.008537
3.58,-0.009042
3.59,-0.009509
3.6,-0.000546
3.61,-0.000176
3.62,0.005183
3.63,-0.005378
3.64,-0.004368
3.65,0.00677
3.66,-0.000335
3.67,0.005726
3.68,0.003839
3.69,0.000682
3.7,0.002829
3.71,-0.012435
3.72,-0.009625
3.73,-0.007778
3.74,-0.002935
3.75,0.000471
3.76,0.002788
3.77,0.005102
3.78,0.003046
3.79,-0.004291
3.8,0.00835
3.81,0.003325
3.82,0.010407
3.83,0.000935
3.84,-0.002556
3.85,-0.006799
3.86,-0.006491
3.87,0.001917
3.88,0.000447
3.89,0.001088
3.9,-0.000374
3.91,0.005585
3.92,0.004785
3.93,-0.003733
3.94,-0.002427
3.95,0.00855
3.96,0.006336
3.97,0.001919
3.98,0.00475
3.99,0.008768
4.0,-0.002481
4.01,-0.000986
4.02,-0.000714
4.03,-0.006873
4.04,-0.009192
4.05,0.002606
4.06,-0.00431
4.07,0.006304
4.08,0.009378
4.09,-0.00482
4.1,-0.004742
4.11,0.002796
4.12,0.002696
4.13,-0.003779
4.14,0.000333
4.15,-0.00075
4.16,-0.007464
4.17,-0.004721
4.18,0.002783
4.19,0.010072
4.2,-0.004269
4.21,-0.010649
4.22,0.003367
4.23,0.006621
4.24,-0.00493
4.25,-0.002637
4.26,-0.006831
4.27,-0.000397
4.28,-0.002775
4.29,-0.005427
4.3,-0.008314
4.31,0.001669
4.32,-0.000978
4.33,-0.004271
4.34,0.000907
4.35,-0.002194
4.36,0.000625
4.37,0.006599
4.38,-0.004465
4.39,0.005079
4.4,-0.002994
4.41,-0.003296
4.42,-0.006351
4.43,0.007621
4.44,-0.001772
4.45,-0.003632
4.46,-0.009142
4.47,-0.004169
4.48,-0.003512
4.49,0.005395
4.5,0.00277
4.51,-0.008856
4.52,0.010467
4.53,-0.006938
4.54,-0.001529
4.55,0.004698
4.56,-0.004575
4.57,0.00158
4.58,-0.008749
4.59,0.002177
4.6,-0.014704
4.61,-0.000907
4.62,0.003234
4.63,-0.004299
4.64,0.005618
4.65,0.00602
4.66,0.005881
4.67,0.009747
4.68,0.000758
4.69,0.004709
4.7,-0.006188
4.71,0.000435
4.72,0.007954
4.73,-0.007066
4.74,0.005698
4.75,-0.006479
4.76,0.007545
4.77,0.009206
4.78,0.007391
4.79,0.002356
4.8,-0.001953
4.81,0.006006
4.82,0.008704
4.83,-0.005747
4.84,0.007598
4.85,-0.000451
4.86,0.012042
4.87,0.007114
4.88,-0.00688
4.89,-0.001226
4.9,0.002159
4.91,-0.002135
4.92,0.000399
4.93,0.004126
4.94,-0.005595
4.95,-0.012841
4.96,-0.003627
4.97,0.000476
4.98,-0.004577
4.99,0.010642
5.0,0.108328
5.01,0.257848
5.02,0.333253
5.03,0.304954
5.04,0.166698
5.05,0.00915
5.06,-0.166453
5.07,-0.278134
5.08,-0.296799
5.09,-0.235107
5.1,-0.097173
5.11,0.058795
5.12,0.205043
5.13,0.276178
5.14,0.249223
5.15,0.166671
5.16,0.025836
5.17,-0.120382
5.18,-0.217219
5.19,-0.247777
5.2,-0.204757
5.21,-0.091828
5.22,0.037319
5.23,0.152217
5.24,0.2193
5.25,0.214581
5.26,0.142603
5.27,0.029922
5.28,-0.085067
5.29,-0.172909
5.3,-0.207831
5.31,-0.171016
5.32,-0.089457
5.33,0.020251
5.34,0.105933
5.35,0.171732
5.36,0.1806
5.37,0.130368
5.38,0.044463
5.39,-0.064165
5.4,0.025345
5.41,0.008758
5.42,-0.000293
5.43,0.019019
5.44,0.037407
5.45,0.03864
5.46,0.028253
5.47,-0.000412
5.48,-0.050504
5.49,-0.085021
5.5,-0.113682
5.51,-0.11002
5.52,-0.071109
5.53,-0.019584
5.54,0.059727
5.55,0.11817
5.56,0.162187
5.57,0.153873
5.58,0.101697
5.59,0.022122
5.6,-0.075658
5.61,-0.146713
5.62,-0.185853
5.63,-0.175293
5.64,-0.125738
5.65,-0.03096
5.66,0.062224
5.67,0.147878
5.68,0.183419
5.69,0.173177
5.7,0.126067
5.71,0.042512
5.72,-0.054673
5.73,-0.142661
5.74,-0.171337
5.75,-0.166012
5.76,-0.120852
5.77,-0.032254
5.78,0.044196
5.79,0.112867
5.8,0.152725
5.81,0.145954
5.82,0.090844
5.83,0.03371
5.84,-0.040494
5.85,-0.100342
5.86,-0.122149
5.87,-0.106297
5.88,-0.088081
5.89,-0.028884
5.9,0.021541
5.91,0.061935
5.92,0.081928
5.93,0.074745
5.94,0.049254
5.95,0.01347
5.96,-0.030302
5.97,-0.047666
5.98,-0.053913
5.99,-0.03742
6.0,-0.02638
6.01,-0.007658
6.02,0.011901
6.03,0.021316
6.04,0.012573
6.05,0.015962
6.06,0.002645
6.07,-0.011897
6.08,-0.016614
6.09,-0.00775
6.1,0.00304
6.11,0.002658
6.12,0.021086
6.13,0.0131
6.14,0.006676
6.15,-0.012522
6.16,-0.021889
6.17,-0.025845
6.18,-0.031165
6.19,-0.022419
6.2,-0.003473
6.21,0.018446
6.22,0.028856
6.23,0.026304
6.24,0.036636
6.25,0.027885
6.26,0.00314
6.27,-0.020065
6.28,-0.040332
6.29,-0.055885
6.3,-0.04319
6.31,-0.030413
6.32,-0.00676
6.33,0.02592
6.34,0.049062
6.35,0.047919
6.36,0.049624
6.37,0.019327
6.38,-0.004935
6.39,-0.025998
6.4,-0.037448
6.41,-0.038474
6.42,-0.045122
6.43,-0.023369
6.44,-0.007487
6.45,0.019498
6.46,0.043658
6.47,0.044098
6.48,0.033641
6.49,0.030786
6.5,0.004506
6.51,-0.012068
6.52,-0.027932
6.53,-0.037281
6.54,-0.027581
6.55,-0.006871
6.56,-0.003205
6.57,0.010931
6.58,0.023455
6.59,0.027436
6.6,0.018249
6.61,0.010768
6.62,0.001312
6.63,-0.002666
6.64,-0.016516
6.65,-0.017668
6.66,-0.002865
6.67,-0.010867
6.68,0.009634
6.69,0.015217
6.7,0.013828
6.71,0.009008
6.72,0.00471
6.73,0.002297
6.74,0.005064
6.75,-0.003193
6.76,0.003978
6.77,0.001321
6.78,0.006594
6.79,9.8e-05
6.8,0.014649
6.81,0.006062
6.82,0.006201
6.83,-0.004298
6.84,-0.010536
6.85,-0.003042
6.86,-0.003964
6.87,-0.003867
6.88,0.011787
6.89,0.002063
6.9,0.006043
6.91,0.007787
6.92,0.007025
6.93,0.004479
6.94,-0.009904
6.95,-0.001858
6.96,-0.010522
6.97,-0.016596
6.98,-0.006848
6.99,-0.004865
7.0,0.011727
7.01,0.006724
7.02,0.015367
7.03,0.016215
7.04,0.011245
7.05,0.005097
7.06,-0.005934
7.07,-0.00868
7.08,-0.018696
7.09,-0.009678
7.1,-0.006891
7.11,0.002501
7.12,0.006011
7.13,0.006044
7.14,0.008543
7.15,0.003147
7.16,-0.002571
7.17,-0.004875
7.18,-0.013627
7.19,-0.011429
7.2,-0.007659
7.21,-0.008516
7.22,-0.004219
7.23,0.007881
7.24,0.013115
7.25,-0.004692
7.26,0.006577
7.27,-0.004131
7.28,0.010605
7.29,0.002068
7.3,-0.005384
7.31,-0.005986
7.32,-0.000899
7.33,0.001172
7.34,-0.002738
7.35,-0.002017
7.36,0.016109
7.37,0.01449
7.38,0.012365
7.39,0.001677
7.4,0.003197
7.41,0.004614
7.42,0.008248
7.43,0.012805
7.44,0.004012
7.45,0.008107
7.46,-0.002698
7.47,-0.007911
7.48,-0.001145
7.49,-0.009467
7.5,0.000796
7.51,-0.002311
7.52,-0.008364
7.53,-0.001455
7.54,-0.003603
7.55,-0.001993
7.56,-0.015985
7.57,0.0103
7.58,0.005745
7.59,0.003762
7.6,-0.006887
7.61,-0.00727
7.62,-0.002979
7.63,-0.000443
7.64,-0.008902
7.65,-0.004879
7.66,-0.007085
7.67,0.000382
7.68,0.000328
7.69,0.002299
7.7,-0.003232
7.71,0.004072
7.72,-0.006767
7.73,-0.011845
7.74,-0.0033
7.75,-0.006801
7.76,0.001008
7.77,-0.014215
7.78,-0.00582
7.79,0.014172
7.8,0.004207
7.81,0.013558
7.82,0.006122
7.83,-0.005723
7.84,-0.000246
7.85,0.005455
7.86,0.008923
7.87,0.001598
7.88,0.003839
7.89,0.004258
7.9,0.004516
7.91,0.018206
7.92,0.000184
7.93,0.011055
7.94,-0.011251
7.95,-0.000657
7.96,-0.011496
7.97,-0.007484
7.98,-0.004371
7.99,-0.010341
8.0,-0.001801
8.01,0.206397
8.02,0.398326
8.03,0.56255
8.04,0.707185
8.05,0.803317
8.06,0.874866
8.07,0.891488
8.08,0.865188
8.09,0.80393
8.1,0.708792
8.11,0.577084
8.12,0.415904
8.13,0.229824
8.14,0.058586
8.15,-0.123461
8.16,-0.296783
8.17,-0.45708
8.18,-0.604367
8.19,-0.683608
8.2,-0.76517
8.21,-0.78559
8.22,-0.777101
8.23,-0.715536
8.24,-0.641246
8.25,-0.542952
8.26,-0.400515
8.27,-0.255576
8.28,-0.098459
8.29,0.057692
8.3,0.218112
8.31,0.361045
8.32,0.493579
8.33,0.58024
8.34,0.657014
8.35,0.68705
8.36,0.676772
8.37,0.669983
8.38,0.587206
8.39,0.500554
8.4,0.381431
8.41,0.254466
8.42,0.113737
8.43,-0.026199
8.44,-0.170967
8.45,-0.29195
8.46,-0.407762
8.47,-0.492851
8.48,-0.560586
8.49,-0.594317
8.5,-0.606556
8.51,-0.599231
8.52,-0.542672
8.53,-0.466407
8.54,-0.381552
8.55,-0.278887
8.56,-0.146664
8.57,-0.0196
8.58,0.101913
8.59,0.22507
8.6,0.322968
8.61,0.410901
8.62,0.479006
8.63,0.523716
8.64,0.526948
8.65,0.529816
8.66,0.478385
8.67,0.425415
8.68,0.347203
8.69,0.263199
8.7,0.156949
8.71,0.056228
8.72,-0.060196
8.73,-0.167096
8.74,-0.264711
8.75,-0.346776
8.76,-0.410377
8.77,-0.441594
8.78,-0.472479
8.79,-0.463931
8.8,0.050694
8.81,0.026695
8.82,0.025375
8.83,0.011438
8.84,0.004542
8.85,0.002343
8.86,0.025985
8.87,0.02337
8.88,0.020243
8.89,0.012496
8.9,0.01071
8.91,-0.026068
8.92,-0.043515
8.93,-0.067347
8.94,-0.098399
8.95,-0.137048
8.96,-0.174598
8.97,-0.20752
8.98,-0.253883
8.99,-0.269771
9.0,-0.293603
9.01,-0.308241
9.02,-0.301169
9.03,-0.291893
9.04,-0.267123
9.05,-0.235026
9.06,-0.180025
9.07,-0.114224
9.08,-0.042787
9.09,0.032541
9.1,0.112636
9.11,0.198016
9.12,0.272344
9.13,0.344738
9.14,0.402745
9.15,0.447078
9.16,0.481859
9.17,0.500252
9.18,0.491098
9.19,0.466334
9.2,0.427939
9.21,0.377582
9.22,0.288615
9.23,0.200711
9.24,0.088557
9.25,-0.004466
9.26,-0.112147
9.27,-0.214923
9.28,-0.317873
9.29,-0.396705
9.3,-0.474442
9.31,-0.53423
9.32,-0.567759
9.33,-0.590948
9.34,-0.572673
9.35,-0.54511
9.36,-0.498391
9.37,-0.424456
9.38,-0.33546
9.39,-0.238482
9.4,-0.123676
9.41,-0.019417
9.42,0.10714
9.43,0.211395
9.44,0.318923
9.45,0.414448
9.46,0.479048
9.47,0.535716
9.48,0.562603
9.49,0.574218
9.5,0.577715
9.51,0.53484
9.52,0.485553
9.53,0.418775
9.54,0.335917
9.55,0.237686
9.56,0.137371
9.57,0.029417
9.58,-0.084766
9.59,-0.178427
9.6,-0.283157
9.61,-0.351351
9.62,-0.416153
9.63,-0.473853
9.64,-0.500893
9.65,-0.506752
9.66,-0.498065
9.67,-0.477553
9.68,-0.422659
9.69,-0.369486
9.7,-0.289019
9.71,-0.211204
9.72,-0.138588
9.73,-0.051185
9.74,0.046238
9.75,0.129268
9.76,0.203147
9.77,0.265857
9.78,0.318127
9.79,0.356855
9.8,0.375879
9.81,0.393129
9.82,0.375724
9.83,0.355702
9.84,0.33429
9.85,0.290444
9.86,0.234488
9.87,0.18005
9.88,0.118942
9.89,0.049655
9.9,-0.010269
9.91,-0.073243
9.92,-0.129347
9.93,-0.175002
9.94,-0.204813
9.95,-0.230595
9.96,-0.247043
9.97,-0.254513
9.98,-0.247452
9.99,-0.236795
10.0,-0.218175
10.01,-0.194014
10.02,-0.168592
10.03,-0.134264
10.04,-0.097638
10.05,-0.069163
10.06,-0.025613
10.07,-0.005319
10.08,0.033443
10.09,0.057669
10.1,0.082567
10.11,0.099694
10.12,0.114519
10.13,0.111169
10.14,0.120319
10.15,0.115676
10.16,0.114733
10.17,0.106685
10.18,0.104579
10.19,0.087668
10.2,0.081899
10.21,0.065336
10.22,0.05353
10.23,0.051542
10.24,0.029812
10.25,0.032672
10.26,0.021911
10.27,0.00896
10.28,0.005954
10.29,-0.001892
10.3,-0.00433
10.31,-0.012627
10.32,-0.026332
10.33,-0.033138
10.34,-0.034439
10.35,-0.059905
10.36,-0.060294
10.37,-0.072862
10.38,-0.08399
10.39,-0.084432
10.4,-0.097044
10.41,-0.104786
10.42,-0.100972
10.43,-0.106903
10.44,-0.108404
10.45,-0.103235
10.46,-0.081891
10.47,-0.071447
10.48,-0.061386
10.49,-0.030757
10.5,-0.003315
10.51,0.020756
10.52,0.050233
10.53,0.062232
10.54,0.100755
10.55,0.113456
10.56,0.127336
10.57,0.154328
10.58,0.154875
10.59,0.163658
10.6,0.16227
10.61,0.151795
10.62,0.143973
10.63,0.126504
10.64,0.103689
10.65,0.069965
10.66,0.040247
10.67,0.006109
10.68,-0.026729
10.69,-0.061471
10.7,-0.097616
10.71,-0.12284
10.72,-0.149471
10.73,-0.175822
10.74,-0.180259
10.75,-0.183021
10.76,-0.188953
10.77,-0.18478
10.78,-0.174279
10.79,-0.155277
10.8,-0.123397
10.81,-0.099516
10.82,-0.066973
10.83,-0.022819
10.84,0.020222
10.85,0.044733
10.86,0.092838
10.87,0.120601
10.88,0.152455
10.89,0.169129
10.9,0.189956
10.91,0.18591
10.92,0.193662
10.93,0.185341
10.94,0.179354
10.95,0.163361
10.96,0.135399
10.97,0.109096
10.98,0.067993
10.99,0.039288
11.0,0.001322
11.01,-0.036797
11.02,-0.060256
11.03,-0.102714
11.04,-0.124618
11.05,-0.132026
11.06,-0.150271
11.07,-0.174036
11.08,-0.163007
11.09,-0.17098
11.1,-0.153248
11.11,-0.142941
11.12,-0.120836
11.13,-0.102126
11.14,-0.069082
11.15,-0.045541
11.16,-0.020398
11.17,0.009227
11.18,0.039603
11.19,0.05881
11.2,0.08738
11.21,0.100576
11.22,0.11421
11.23,0.118965
11.24,0.132708
11.25,0.134627
11.26,0.127188
11.27,0.111019
11.28,0.106227
11.29,0.09771
11.3,0.061959
11.31,0.045154
11.32,0.025486
11.33,0.010093
11.34,-0.006182
11.35,-0.029142
11.36,-0.049595
11.37,-0.065446
11.38,-0.075253
11.39,-0.085179
11.4,-0.090974
11.41,-0.094173
11.42,-0.09807
11.43,-0.075335
11.44,-0.083046
11.45,-0.077618
11.46,-0.057522
11.47,-0.049474
11.48,-0.038176
11.49,-0.025371
11.5,-0.010305
11.51,0.010779
11.52,0.020411
11.53,0.026029
11.54,0.026035
11.55,0.039766
11.56,0.034327
11.57,0.034089
11.58,0.046147
11.59,0.041473
11.6,0.052509
11.61,0.046653
11.62,0.038896
11.63,0.038271
11.64,0.039874
11.65,0.030423
11.66,0.037292
11.67,0.023663
11.68,0.018474
11.69,0.016842
11.7,0.010333
11.71,-0.00216
11.72,-0.006264
11.73,-0.012772
11.74,-0.013385
11.75,-0.012827
11.76,-0.024274
11.77,-0.018457
11.78,-0.014941
11.79,-0.032947
11.8,-0.032584
11.81,-0.026771
11.82,-0.033589
11.83,-0.052216
11.84,-0.045783
11.85,-0.044219
11.86,-0.045985
11.87,-0.031689
11.88,-0.028829
11.89,-0.018236
11.9,-0.015334
11.91,-0.008998
11.92,-0.00567
11.93,0.005406
11.94,0.010506
11.95,0.019724
11.96,0.023512
11.97,0.037928
11.98,0.052342
11.99,0.053025
12.0,0.049408
12.01,0.118683
12.02,0.160657
12.03,0.215088
12.04,0.271953
12.05,0.314128
12.06,0.374971
12.07,0.409519
12.08,0.462516
12.09,0.488148
12.1,0.536944
12.11,0.574646
12.12,0.63026
12.13,0.663857
12.14,0.707917
12.15,0.734743
12.16,0.775945
12.17,0.827338
12.18,0.873269
12.19,0.922053
12.2,0.970182
12.21,1.0072
12.22,1.054663
12.23,1.100174
12.24,1.168555
12.25,1.208298
12.26,1.252528
12.27,1.302232
12.28,1.348762
12.29,1.390547
12.3,1.433282
12.31,1.468546
12.32,1.506327
12.33,1.532906
12.34,1.555384
12.35,1.579662
12.36,1.597929
12.37,1.620312
12.38,1.63477
12.39,1.63331
12.4,1.654179
12.41,1.648746
12.42,1.649434
12.43,1.64222
12.44,1.654655
12.45,1.639299
12.46,1.634992
12.47,1.634578
12.48,1.62682
12.49,1.622813
12.5,1.613653
12.51,1.605741
12.52,1.592434
12.53,1.605123
12.54,1.604019
12.55,1.585997
12.56,1.587482
12.57,1.586262
12.58,1.581793
12.59,1.573944
12.6,1.570739
12.61,1.568836
12.62,1.54714
12.63,1.530072
12.64,1.511404
12.65,1.484458
12.66,1.464464
12.67,1.44863
12.68,1.410587
12.69,1.3832
12.7,1.356059
12.71,1.311768
12.72,1.274365
12.73,1.237923
12.74,1.196123
12.75,1.145397
12.76,1.095365
12.77,1.051898
12.78,1.005897
12.79,0.961356
12.8,2.109336
12.81,2.058724
12.82,2.022028
12.83,1.971668
12.84,1.932034
12.85,1.87806
12.86,1.835304
12.87,1.78916
12.88,1.735302
12.89,1.681185
12.9,1.637418
12.91,1.585385
12.92,1.540407
12.93,1.486957
12.94,1.442229
12.95,1.387158
12.96,1.330401
12.97,1.267293
12.98,1.221917
12.99,1.163331
13.0,1.10904
13.01,1.051451
13.02,0.99468
13.03,0.928504
13.04,0.870388
13.05,0.812865
13.06,0.749637
13.07,0.696841
13.08,0.618975
13.09,0.574596
13.1,0.501036
13.11,0.440859
13.12,0.378405
13.13,0.324666
13.14,0.251211
13.15,0.192001
13.16,0.125205
13.17,0.06982
13.18,0.001053
13.19,-0.047525
13.2,-0.109264
13.21,-0.167072
13.22,-0.217536
13.23,-0.267093
13.24,-0.333809
13.25,-0.387605
13.26,-0.433117
13.27,-0.476626
13.28,-0.53312
13.29,-0.584882
13.3,-0.62799
13.31,-0.672473
13.32,-0.715393
13.33,-0.762352
13.34,-0.805068
13.35,-0.829399
13.36,-0.867871
13.37,-0.919441
13.38,-0.953786
13.39,-0.984484
13.4,-1.011967
13.41,-1.050775
13.42,-1.091952
13.43,-1.118778
13.44,-1.14453
13.45,-1.175793
13.46,-1.209961
13.47,-1.231725
13.48,-1.266256
13.49,-1.292923
13.5,-1.321975
13.51,-1.328825
13.52,-1.366752
13.53,-1.383961
13.54,-1.416502
13.55,-1.432049
13.56,-1.45023
13.57,-1.466084
13.58,-1.475898
13.59,-1.485502
13.6,-1.498263
13.61,-1.506059
13.62,-1.506922
13.63,-1.519611
13.64,-1.509498
13.65,-1.503539
13.66,-1.509138
13.67,-1.506528
13.68,-1.489265
13.69,-1.486699
13.7,-1.480146
13.71,-1.464584
13.72,-1.463936
13.73,-1.447522
13.74,-1.43955
13.75,-1.416817
13.76,-1.408566
13.77,-1.397522
13.78,-1.379142
13.79,-1.367199
13.8,-1.354096
13.81,-1.340777
13.82,-1.329711
13.83,-1.30773
13.84,-1.278668
13.85,-1.276777
13.86,-1.257657
13.87,-1.234157
13.88,-1.215666
13.89,-1.197123
13.9,-1.167633
13.91,-1.146032
13.92,-1.117651
13.93,-1.094486
13.94,-1.074158
13.95,-1.046993
13.96,-1.015663
13.97,-0.980818
13.98,-0.949119
13.99,-0.918594
14.0,-0.887294
14.01,-0.845308
14.02,-0.820879
14.03,-0.78276
14.04,-0.74142
14.05,-0.71013
14.06,-0.675525
14.07,-0.633504
14.08,-0.612569
14.09,-0.580561
14.1,-0.529559
14.11,-0.509339
14.12,-0.47558
14.13,-0.450254
14.14,-0.415837
14.15,-0.388423
14.16,-0.364408
14.17,-0.327969
14.18,-0.301178
14.19,-0.275168
14.2,-0.246058
14.21,-0.215415
14.22,-0.189892
14.23,-0.161785
14.24,-0.139085
14.25,-0.111435
14.26,-0.083118
14.27,-0.04898
14.28,-0.033895
14.29,-0.003509
14.3,0.024097
14.31,0.046794
14.32,0.078258
14.33,0.086976
14.34,0.122048
14.35,0.138746
14.36,0.157675
14.37,0.18945
14.38,0.212447
14.39,0.234262
