# Speech VCV token /a-t-a/ · 16000 Hz · 125 ms · 2000 samples
# Synthetic · modelled on TIMIT corpus (Garofolo et al. 1993)
# https://catalog.ldc.upenn.edu/LDC93S1
# Formants per Hillenbrand et al. (1995) JASA 97(5):3099. F1=768 F2=1333 F3=2534 Hz
# Events: vowel /a/ | stop closure | burst | vowel /a/ release
time_s,amplitude
0.004938,0.041414
0.005,0.031719
0.005063,0.030134
0.005125,0.035261
0.005188,0.015155
0.00525,0.025501
0.005313,-0.012337
0.005375,-0.026398
0.005438,-0.016934
0.0055,-0.030048
0.005562,-0.032346
0.005625,-0.023262
0.005687,-0.006053
0.00575,0.003656
0.005812,-0.019229
0.005875,0.000795
0.005938,0.003934
0.006,-0.00017
0.006063,-0.012022
0.006125,0.003786
0.006188,0.0173
0.00625,-0.006206
0.006313,0.027009
0.006375,-0.018692
0.006438,-0.0037
0.0065,-0.003547
0.006562,0.014318
0.006625,0.009595
0.006687,-0.006449
0.00675,-0.00491
0.006812,-0.003664
0.006875,0.015721
0.006938,-0.003582
0.007,0.000627
0.007063,-0.009701
0.007125,0.002227
0.007188,-0.008857
0.00725,0.004064
0.007313,0.009668
0.007375,0.016863
0.007438,-0.009388
0.0075,0.003466
0.007562,0.004214
0.007625,0.007143
0.007687,0.014785
0.00775,0.002608
0.007812,-0.006471
0.007875,0.035254
0.007938,-0.004346
0.008,0.01111
0.008063,0.004541
0.008125,-0.006026
0.008188,0.002172
0.00825,0.028416
0.008313,0.009171
0.008375,0.021884
0.008438,0.024493
0.0085,0.016923
0.008563,-0.011487
0.008625,-0.025247
0.008688,-0.052278
0.00875,-0.086194
0.008813,-0.052536
0.008875,-0.038593
0.008938,-0.06079
0.009,-0.030704
0.009062,-0.0272
0.009125,0.005969
0.009187,0.061514
0.00925,0.041217
0.009312,0.045169
0.009375,0.079164
0.009437,0.045266
0.0095,0.05032
0.009562,0.026199
0.009625,0.001427
0.009687,0.003727
0.00975,0.015101
0.009813,-0.002667
0.009875,-0.010773
0.009938,-0.017432
0.01,0.011554
0.010063,-0.026872
0.010125,-0.02547
0.010188,-0.02634
0.01025,-0.026166
0.010313,-0.017753
0.010375,0.015897
0.010438,0.01768
0.0105,-0.008657
0.010563,-0.005717
0.010625,0.033716
0.010688,0.028027
0.01075,0.021362
0.010813,-0.010962
0.010875,0.011113
0.010938,0.018473
0.011,0.021574
0.011062,-0.009195
0.011125,0.005093
0.011187,0.016924
0.01125,-0.008322
0.011312,0.012432
0.011375,-0.007948
0.011437,0.006116
0.0115,0.023949
0.011562,-0.01891
0.011625,-0.012718
0.011687,-0.006693
0.01175,0.001369
0.011813,-0.019624
0.011875,-0.000865
0.011938,-0.002138
0.012,-0.016066
0.012063,-0.001833
0.012125,-0.030185
0.012188,-0.025041
0.01225,-0.005831
0.012313,-0.005255
0.012375,0.011153
0.012438,0.024138
0.0125,-0.017087
0.012563,0.033163
0.012625,-0.011341
0.012688,0.010191
0.01275,-0.003498
0.012813,0.027991
0.012875,0.024708
0.012938,0.019078
0.013,-0.005752
0.013062,-0.002154
0.013125,0.01394
0.013187,0.021912
0.01325,0.005372
0.013312,0.001818
0.013375,-0.019376
0.013437,8e-05
0.0135,0.00164
0.013562,-0.029656
0.013625,-0.004125
0.013688,-0.007664
0.01375,0.008895
0.013813,0.001206
0.013875,-0.020492
0.013938,-0.009057
0.014,0.022687
0.014063,-0.012502
0.014125,-0.005673
0.014188,-0.01408
0.01425,0.009158
0.014313,-0.00029
0.014375,0.004709
0.014438,0.001476
0.0145,-0.007982
0.014563,-0.000325
0.014625,0.021258
0.014688,-0.004675
0.01475,0.036419
0.014813,-0.010035
0.014875,-0.009222
0.014938,-0.011602
0.015,0.002169
0.015062,-0.010135
0.015125,0.011731
0.015187,0.014271
0.01525,0.019644
0.015312,0.001069
0.015375,0.021069
0.015437,-0.007063
0.0155,0.027664
0.015562,0.000253
0.015625,-0.00699
0.015688,-0.007525
0.01575,-2e-06
0.015813,0.000887
0.015875,-0.017854
0.015938,7.4e-05
0.016,-0.007852
0.016063,0.010278
0.016125,0.009065
0.016188,0.008649
0.01625,-0.012065
0.016313,0.017255
0.016375,-0.011681
0.016438,-0.015143
0.0165,-0.008208
0.016563,0.0134
0.016625,-0.011142
0.016688,-0.000181
0.01675,-0.009698
0.016813,0.009175
0.016875,-0.017533
0.016938,-0.009495
0.017,-0.004023
0.017063,0.020457
0.017125,0.01609
0.017188,0.022066
0.01725,-0.019857
0.017313,0.003291
0.017375,0.009269
0.017438,0.01289
0.0175,-0.002638
0.017563,-0.006247
0.017625,0.002391
0.017688,-0.008637
0.01775,0.023817
0.017813,-0.012956
0.017875,-0.000623
0.017938,0.004979
0.018,0.011015
0.018062,0.008558
0.018125,0.002722
0.018187,0.015254
0.01825,0.008707
0.018312,-0.002998
0.018375,-0.014204
0.018437,0.014338
0.0185,0.006931
0.018562,0.009556
0.018625,-0.002438
0.018687,0.005608
0.01875,-0.01988
0.018812,0.018478
0.018875,-0.031519
0.018937,-0.021294
0.019,-0.00115
0.019062,-0.010725
0.019125,-0.00242
0.019187,0.007208
0.01925,0.012308
0.019312,-0.006887
0.019375,0.026257
0.019437,0.000328
0.0195,0.001596
0.019563,0.012575
0.019625,0.010706
0.019688,0.018264
0.01975,0.014318
0.019813,-0.004283
0.019875,7.7e-05
0.019938,-0.011242
0.02,0.009468
0.020063,0.019212
0.020125,-0.011623
0.020188,-0.034044
0.02025,0.026171
0.020313,0.005553
0.020375,-0.009416
0.020438,0.008001
0.0205,-0.009856
0.020563,0.016925
0.020625,-0.003314
0.020688,-0.014231
0.02075,0.007427
0.020813,-0.001158
0.020875,0.009423
0.020938,-0.007322
0.021,-0.0163
0.021063,0.005162
0.021125,-0.006349
0.021188,-0.000153
0.02125,0.001935
0.021313,0.01122
0.021375,0.007994
0.021438,0.020861
0.0215,-0.015209
0.021563,-0.010473
0.021625,-0.006195
0.021688,0.006436
0.02175,-0.009687
0.021813,0.00544
0.021875,0.012973
0.021938,0.012432
0.022,0.008903
0.022062,-0.006283
0.022125,-0.011063
0.022187,0.013549
0.02225,-0.004504
0.022312,-0.02776
0.022375,-0.00684
0.022437,0.010457
0.0225,-0.011115
0.022562,-0.025208
0.022625,-0.042106
0.022687,0.006976
0.02275,-0.000728
0.022812,-0.001933
0.022875,-0.010753
0.022937,-0.003829
0.023,0.01888
0.023062,-0.000754
0.023125,0.005135
0.023187,0.027337
0.02325,0.012682
0.023312,-0.001365
0.023375,0.007383
0.023438,-0.005071
0.0235,-0.002638
0.023563,-0.002886
0.023625,0.020818
0.023688,0.010478
0.02375,0.016332
0.023813,0.008731
0.023875,-0.003131
0.023938,0.010565
0.024,0.011416
0.024063,-0.001818
0.024125,0.024461
0.024188,-0.00094
0.02425,-0.003614
0.024313,-0.009671
0.024375,0.009502
0.024438,-0.020005
0.0245,0.00473
0.024563,-0.006237
0.024625,-0.011005
0.024688,0.0035
0.02475,0.014267
0.024813,-0.00201
0.024875,-0.002234
0.024938,-0.025865
0.025,0.003484
0.025063,-0.003839
0.025125,-0.007662
0.025188,0.001981
0.02525,-0.011561
0.025313,0.001546
0.025375,0.010514
0.025438,-0.029994
0.0255,-0.015807
0.025563,-0.002079
0.025625,0.01388
0.025688,0.01469
0.02575,-0.000239
0.025813,0.003992
0.025875,0.00613
0.025938,-0.002107
0.026,0.014741
0.026062,-0.004697
0.026125,-0.013118
0.026187,0.001344
0.02625,0.011268
0.026312,0.012723
0.026375,0.008231
0.026437,0.010919
0.0265,0.002083
0.026562,-0.024216
0.026625,-0.007153
0.026687,-0.008801
0.02675,0.006744
0.026812,-0.007452
0.026875,0.004312
0.026937,0.038817
0.027,-0.027102
0.027062,0.020693
0.027125,-0.021101
0.027187,0.021732
0.02725,-0.003199
0.027312,0.006018
0.027375,0.009274
0.027438,-0.009319
0.0275,-0.034549
0.027563,0.013461
0.027625,0.033909
0.027688,-0.017153
0.02775,0.003545
0.027813,0.002519
0.027875,-0.015508
0.027938,-0.016274
0.028,-0.029271
0.028063,-0.019588
0.028125,-0.001059
0.028188,0.000194
0.02825,-0.012207
0.028313,-0.01757
0.028375,0.00804
0.028438,0.014524
0.0285,-0.009678
0.028563,0.00192
0.028625,-0.002805
0.028688,-0.028917
0.02875,0.018224
0.028813,-0.001981
0.028875,-0.00779
0.028938,0.00663
0.029,-0.001584
0.029063,-0.00515
0.029125,0.001856
0.029188,0.008474
0.02925,-0.015919
0.029313,0.004706
0.029375,-0.004042
0.029438,0.006649
0.0295,0.002016
0.029563,-0.027988
0.029625,0.004098
0.029688,0.00041
0.02975,0.014055
0.029813,0.009949
0.029875,-0.008507
0.029938,-0.003275
0.03,0.007833
0.030062,0.029006
0.030125,-0.004644
0.030187,-0.004551
0.03025,-0.01264
0.030312,-0.014678
0.030375,0.007673
0.030437,-0.018119
0.0305,-0.011364
0.030562,0.007011
0.030625,-0.002647
0.030687,-0.006317
0.03075,-0.002841
0.030812,-0.000929
0.030875,0.000843
0.030937,0.013566
0.031,0.004567
0.031062,0.001692
0.031125,-0.011292
0.031187,-0.015091
0.03125,-0.00265
0.031313,-0.013557
0.031375,0.008311
0.031438,0.008076
0.0315,0.012957
0.031563,0.008244
0.031625,-0.002078
0.031688,-0.002276
0.03175,-0.014365
0.031813,-0.012747
0.031875,-0.00378
0.031938,0.019926
0.032,-0.009283
0.032063,-0.004602
0.032125,0.006861
0.032188,-0.019843
0.03225,-0.005283
0.032313,-0.015059
0.032375,0.001784
0.032438,-0.001046
0.0325,-0.005233
0.032563,0.008199
0.032625,-0.004562
0.032688,-0.004048
0.03275,-0.004972
0.032813,-0.004978
0.032875,-0.008835
0.032938,0.020722
0.033,0.007216
0.033063,-0.001794
0.033125,0.003265
0.033188,0.004565
0.03325,-0.012327
0.033313,-0.014284
0.033375,0.011065
0.033438,-0.025616
0.0335,-0.013654
0.033563,0.006263
0.033625,-0.014652
0.033688,-0.019913
0.03375,0.007761
0.033813,0.011875
0.033875,-0.006436
0.033938,0.013671
0.034,0.007131
0.034063,-0.005821
0.034125,-0.000332
0.034188,0.0174
0.03425,-0.004824
0.034313,0.003097
0.034375,0.012751
0.034438,-0.003798
0.0345,0.001041
0.034563,0.005032
0.034625,-0.014499
0.034688,0.019454
0.03475,0.008702
0.034813,0.023103
0.034875,0.0061
0.034938,-0.020914
0.035,0.000634
0.035063,0.010829
0.035125,-0.019087
0.035188,0.010358
0.03525,0.014167
0.035313,0.016918
0.035375,0.000756
0.035438,0.008369
0.0355,-0.007316
0.035563,-0.025519
0.035625,-0.011093
0.035688,0.007425
0.03575,0.00594
0.035813,0.005676
0.035875,-0.001705
0.035938,0.004388
0.036,0.012554
0.036062,-0.020918
0.036125,0.000759
0.036187,0.010338
0.03625,-0.010152
0.036312,-0.004584
0.036375,0.00168
0.036437,0.025375
0.0365,0.014862
0.036562,-0.002287
0.036625,-0.003521
0.036687,-0.008379
0.03675,-0.00947
0.036812,0.021314
0.036875,0.021354
0.036937,0.006773
0.037,0.005168
0.037062,-0.000159
0.037125,-0.006518
0.037187,-0.004968
0.03725,0.000109
0.037312,-0.008192
0.037375,-0.002662
0.037437,-0.012931
0.0375,0.011967
0.037562,0.014524
0.037625,0.015833
0.037687,-0.024714
0.03775,0.001564
0.037812,0.002545
0.037875,0.008231
0.037937,-0.019002
0.038,-0.0015
0.038062,-0.002774
0.038125,0.003555
0.038187,0.02015
0.03825,0.003591
0.038312,0.025419
0.038375,-0.006282
0.038437,0.007317
0.0385,0.002556
0.038562,-0.013985
0.038625,-0.01153
0.038687,0.004796
0.03875,0.01062
0.038812,0.007097
0.038875,0.018754
0.038937,-0.021977
0.039,0.002962
0.039062,-0.005767
0.039125,0.014657
0.039188,0.020253
0.03925,0.002352
0.039313,0.001365
0.039375,-0.025808
0.039438,0.014831
0.0395,0.004197
0.039563,-0.003053
0.039625,0.017632
0.039688,-0.006085
0.03975,0.007528
0.039813,-0.006817
0.039875,0.007891
0.039938,0.017477
0.04,0.009152
0.040063,-0.001212
0.040125,0.032967
0.040188,-0.016643
0.04025,0.008288
0.040313,-0.010048
0.040375,0.017636
0.040438,0.009738
0.0405,0.032772
0.040563,-0.003378
0.040625,0.007408
0.040688,0.000431
0.04075,-0.014409
0.040813,0.024149
0.040875,-0.004324
0.040938,0.011972
0.041,0.026321
0.041063,0.007129
0.041125,0.000401
0.041188,0.007896
0.04125,-0.026704
0.041313,-0.024032
0.041375,-0.015989
0.041438,-0.005438
0.0415,-0.017385
0.041563,0.025936
0.041625,-0.011574
0.041688,0.010418
0.04175,-0.014416
0.041813,-0.006362
0.041875,-0.007263
0.041938,-0.02374
0.042,0.015213
0.042063,0.000222
0.042125,0.017849
0.042188,-0.005716
0.04225,-0.022539
0.042313,0.002145
0.042375,0.023588
0.042438,-0.020961
0.0425,0.02292
0.042563,0.006018
0.042625,0.026307
0.042688,0.003459
0.04275,0.009759
0.042813,-0.008814
0.042875,0.005053
0.042938,-0.001712
0.043,-0.015277
0.043063,0.011559
0.043125,0.018487
0.043188,-0.006738
0.04325,0.022751
0.043313,-0.012368
0.043375,0.025177
0.043438,-0.00853
0.0435,0.00814
0.043563,0.0132
0.043625,0.024411
0.043688,0.015122
0.04375,-0.006891
0.043813,0.001569
0.043875,0.014225
0.043938,-0.012793
0.044,0.001891
0.044062,-0.032543
0.044125,0.012817
0.044187,0.00716
0.04425,-0.01051
0.044312,-9.2e-05
0.044375,0.005047
0.044437,-0.022892
0.0445,-0.017901
0.044562,0.002137
0.044625,0.016821
0.044687,0.015433
0.04475,0.015263
0.044812,-0.014324
0.044875,0.022785
0.044937,0.001262
0.045,-0.00944
0.045062,-0.009894
0.045125,-0.001982
0.045187,-0.010484
0.04525,0.029881
0.045312,-0.003299
0.045375,-0.015877
0.045437,-0.004984
0.0455,-0.030718
0.045562,0.003609
0.045625,0.007524
0.045687,-0.020408
0.04575,-0.019728
0.045812,-0.000742
0.045875,0.012335
0.045937,0.028161
0.046,0.003618
0.046062,0.001954
0.046125,-0.013721
0.046187,-0.017684
0.04625,0.008038
0.046312,0.000627
0.046375,-0.027844
0.046437,0.026401
0.0465,0.013969
0.046562,-0.013186
0.046625,0.034163
0.046687,-0.030304
0.04675,0.021128
0.046812,0.00779
0.046875,-0.024762
0.046938,-0.02694
0.047,0.052793
0.047063,0.014631
0.047125,-0.00661
0.047188,-0.011731
0.04725,0.010699
0.047313,0.023499
0.047375,-0.02476
0.047438,-0.009869
0.0475,0.020429
0.047563,0.020309
0.047625,-0.017975
0.047688,0.019355
0.04775,-0.007974
0.047813,0.010207
0.047875,0.001384
0.047938,0.000247
0.048,0.026937
0.048063,-0.006955
0.048125,0.016157
0.048188,0.044467
0.04825,0.01295
0.048313,-0.019575
0.048375,-0.008628
0.048438,-0.010946
0.0485,-0.02021
0.048563,-0.001437
0.048625,0.005758
0.048688,0.032923
0.04875,-0.005
0.048813,-0.022554
0.048875,0.036342
0.048938,-0.016495
0.049,0.029399
0.049063,0.005427
0.049125,-0.000209
0.049188,0.064526
0.04925,-0.024799
0.049313,0.006532
0.049375,0.01309
0.049438,-0.029091
0.0495,-0.007787
0.049563,-0.006421
0.049625,0.005694
0.049688,-0.014969
0.04975,-0.015894
0.049813,0.048314
0.049875,0.025361
0.049938,-0.002697
0.05,0.037473
0.050063,0.004981
0.050125,0.015116
0.050188,0.033848
0.05025,-0.00423
0.050313,-0.007407
0.050375,-0.022049
0.050438,-0.004637
0.0505,0.041605
0.050563,0.008574
0.050625,0.002507
0.050688,-0.00215
0.05075,-0.00869
0.050813,0.024557
0.050875,-0.026789
0.050938,0.018497
0.051,-0.011051
0.051063,0.02803
0.051125,-0.021647
0.051188,0.004756
0.05125,0.012237
0.051313,-0.041798
0.051375,-0.003625
0.051438,0.033257
0.0515,0.012108
0.051563,0.018998
0.051625,-0.018584
0.051688,0.012116
0.05175,-0.002003
0.051813,0.019756
0.051875,-0.027783
0.051938,-0.011934
0.052,-0.025212
0.052062,-0.026076
0.052125,0.00277
0.052187,0.01272
0.05225,-0.000152
0.052312,0.018742
0.052375,-0.022839
0.052437,-0.016087
0.0525,-0.002072
0.052562,-0.029122
0.052625,-0.008562
0.052687,0.019053
0.05275,0.005276
0.052812,0.016055
0.052875,0.028498
0.052937,-0.035811
0.053,-0.017889
0.053062,0.000838
0.053125,-0.005275
0.053187,-0.0039
0.05325,0.030497
0.053312,0.006502
0.053375,-0.013887
0.053437,-0.001469
0.0535,-0.045694
0.053562,-0.01844
0.053625,-0.032955
0.053687,0.006385
0.05375,0.001781
0.053812,-0.013774
0.053875,-0.00407
0.053937,-0.000703
0.054,0.033029
0.054062,0.044152
0.054125,0.007738
0.054187,-0.016428
0.05425,-0.025047
0.054312,0.027862
0.054375,0.021128
0.054437,0.020059
0.0545,0.01248
0.054562,0.007827
0.054625,-0.018476
0.054688,0.015368
0.05475,-0.004802
0.054813,-0.007674
0.054875,0.03585
0.054938,-0.014807
0.055,-0.013624
0.055063,-0.0043
0.055125,-0.012519
0.055188,-0.020184
0.05525,0.00467
0.055313,0.003647
0.055375,-0.005005
0.055438,0.017371
0.0555,0.030099
0.055563,-0.00644
0.055625,-0.004619
0.055688,-0.013298
0.05575,-0.005445
0.055813,0.002509
0.055875,-0.011034
0.055938,-0.014658
0.056,0.016569
0.056063,0.015559
0.056125,-0.0149
0.056188,-0.014279
0.05625,0.006289
0.056313,-0.034969
0.056375,-0.036655
0.056438,-0.018113
0.0565,-0.00434
0.056563,0.002544
0.056625,0.001747
0.056688,-0.000231
0.05675,0.00449
0.056813,-0.002135
0.056875,-0.00588
0.056938,0.022605
0.057,0.027351
0.057063,-0.01384
0.057125,0.01598
0.057188,-0.041685
0.05725,0.043504
0.057313,0.013914
0.057375,-0.010457
0.057438,0.012755
0.0575,0.031608
0.057563,-0.027503
0.057625,0.027023
0.057688,-0.039244
0.05775,0.020442
0.057813,-0.007061
0.057875,0.027541
0.057938,-0.001673
0.058,0.041431
0.058063,-0.022963
0.058125,-0.015078
0.058188,0.021625
0.05825,0.015724
0.058313,0.027914
0.058375,0.029345
0.058438,0.015886
0.0585,-0.02563
0.058563,-0.018861
0.058625,0.001129
0.058688,0.016247
0.05875,-0.056279
0.058813,0.022691
0.058875,0.011542
0.058938,0.002374
0.059,0.02175
0.059063,0.005218
0.059125,-0.003539
0.059188,0.006615
0.05925,-0.009447
0.059313,-0.004651
0.059375,0.009784
0.059438,-0.008212
0.0595,0.005302
0.059563,-0.010455
0.059625,-0.009242
0.059688,-0.037304
0.05975,0.00826
0.059813,0.009906
0.059875,-0.014874
0.059938,0.016649
0.06,0.008297
0.060062,0.033494
0.060125,-0.030107
0.060187,-0.023879
0.06025,0.00252
0.060312,0.031276
0.060375,0.012466
0.060437,-0.018945
0.0605,-0.019237
0.060562,0.012393
0.060625,0.025659
0.060687,-0.007187
0.06075,0.023092
0.060812,-0.022161
0.060875,0.033986
0.060937,0.015752
0.061,0.0167
0.061062,0.003919
0.061125,-0.00216
0.061187,0.004862
0.06125,0.002513
0.061312,0.033658
0.061375,0.024375
0.061437,-0.014849
0.0615,-0.003816
0.061562,-0.001023
0.061625,0.030834
0.061687,0.033014
0.06175,-0.016003
0.061812,-0.007762
0.061875,0.014271
0.061937,-0.0211
0.062,-0.008479
0.062062,0.038765
0.062125,0.001478
0.062187,-0.035192
0.06225,-0.010507
0.062312,-0.014044
0.062375,-0.025964
0.062437,-0.032796
0.0625,0.001972
0.062563,-0.012511
0.062625,0.035081
0.062688,0.015249
0.06275,-0.022177
0.062813,0.012992
0.062875,-0.006869
0.062938,0.041847
0.063,-0.007462
0.063063,0.007101
0.063125,-0.00328
0.063188,-0.001921
0.06325,-0.02632
0.063313,-0.010923
0.063375,-0.023191
0.063438,0.039113
0.0635,0.011466
0.063563,0.013714
0.063625,-0.027485
0.063688,0.03406
0.06375,0.003912
0.063813,-0.014493
0.063875,-0.007237
0.063938,-0.002655
0.064,-0.022063
0.064062,0.007698
0.064125,0.026637
0.064187,-0.024579
0.06425,0.014543
0.064312,0.01467
0.064375,-0.011697
0.064437,0.00281
0.0645,-0.008236
0.064562,0.018613
0.064625,-0.016347
0.064687,-0.033437
0.06475,0.004916
0.064812,-0.013695
0.064875,0.013067
0.064937,-0.035224
0.065,-0.703805
0.065062,-0.60558
0.065125,1.0
0.065187,-0.010102
0.06525,-0.223337
0.065312,-0.662854
0.065375,-0.579356
0.065437,0.139993
0.0655,0.495183
0.065562,-0.677632
0.065625,-0.044298
0.065687,0.545984
0.06575,0.332509
0.065812,-0.050877
0.065875,-0.222683
0.065937,0.14144
0.066,-0.08704
0.066062,0.359723
0.066125,-0.223957
0.066187,0.007917
0.06625,-0.21268
0.066312,0.538504
0.066375,-0.385099
0.066437,0.202204
0.0665,0.219939
0.066562,-0.038854
0.066625,0.258797
0.066687,0.450279
0.06675,-0.114392
0.066812,-0.142496
0.066875,0.062574
0.066937,0.096569
0.067,0.139247
0.067062,-0.18807
0.067125,0.049802
0.067187,-0.34636
0.06725,0.148916
0.067312,-0.028869
0.067375,0.005692
0.067437,0.056291
0.0675,-0.079525
0.067562,0.043262
0.067625,-0.046489
0.067687,-0.046678
0.06775,0.055596
0.067812,0.058227
0.067875,0.064769
0.067937,0.031166
0.068,0.059512
0.068062,0.111618
0.068125,0.065142
0.068187,-0.025576
0.06825,0.04756
0.068312,0.073952
0.068375,0.001493
0.068437,-0.025791
0.0685,-0.031954
0.068562,-0.063918
0.068625,0.022779
0.068687,0.013834
0.06875,0.00094
0.068812,0.06779
0.068875,0.063188
0.068937,-0.025804
0.069,0.022632
0.069062,0.021778
0.069125,0.033514
0.069187,0.022543
0.06925,0.001615
0.069312,-0.049199
0.069375,0.041946
0.069437,0.000664
0.0695,-0.011511
0.069562,0.011141
0.069625,-0.029044
0.069687,0.017748
0.06975,0.004652
0.069812,-0.018733
0.069875,0.046779
0.069937,-0.005103
0.07,-0.010687
0.070062,-0.003572
0.070125,-0.020854
0.070187,0.003214
0.07025,0.014353
0.070312,0.027002
0.070375,0.01522
0.070438,-0.009207
0.0705,-0.015132
0.070563,-0.005148
0.070625,0.01533
0.070688,0.007361
0.07075,0.017155
0.070813,-0.029043
0.070875,0.022841
0.070938,0.008933
0.071,0.002789
0.071063,0.001366
0.071125,-0.011555
0.071188,-0.006175
0.07125,-0.025776
0.071313,0.01326
0.071375,0.007465
0.071438,-0.011093
0.0715,-0.005717
0.071563,-0.011001
0.071625,-0.029065
0.071688,-0.01462
0.07175,0.006915
0.071813,-0.005715
0.071875,-0.015909
0.071938,0.006555
0.072,-0.011098
0.072063,-0.019981
0.072125,0.007552
0.072188,-0.006943
0.07225,0.0051
0.072313,-0.00124
0.072375,-0.017046
0.072438,0.011082
0.0725,-0.007816
0.072563,-0.007125
0.072625,0.002017
0.072688,-0.011478
0.07275,0.028111
0.072813,0.017644
0.072875,0.008916
0.072938,0.00029
0.073,0.023418
0.073063,-0.005774
0.073125,0.019365
0.073188,0.00484
0.07325,0.014114
0.073313,0.004699
0.073375,-0.003801
0.073438,-0.014985
0.0735,0.007779
0.073563,0.031317
0.073625,-0.006255
0.073688,0.015013
0.07375,0.001752
0.073813,0.01246
0.073875,-0.004208
0.073938,-0.015554
0.074,0.01659
0.074063,0.010476
0.074125,0.013236
0.074188,0.01095
0.07425,-0.010006
0.074313,-0.025916
0.074375,0.006176
0.074438,-0.003389
0.0745,-0.004804
0.074563,0.004629
0.074625,-0.020574
0.074688,1.8e-05
0.07475,0.008657
0.074813,0.017642
0.074875,0.014915
0.074938,0.029524
0.075,0.015558
0.075063,-0.006389
0.075125,-0.015423
0.075188,-0.038204
0.07525,0.003661
0.075313,0.023587
0.075375,0.008361
0.075438,-0.031939
0.0755,0.00286
0.075563,0.00343
0.075625,0.018018
0.075688,0.006598
0.07575,-0.002347
0.075813,0.009667
0.075875,-0.013599
0.075938,0.005248
0.076,-0.000345
0.076063,-0.003571
0.076125,-0.000903
0.076188,-0.010033
0.07625,-0.009336
0.076313,-0.006268
0.076375,-0.009844
0.076438,-0.005152
0.0765,-0.003167
0.076563,-0.011056
0.076625,4e-06
0.076688,0.005531
0.07675,0.019888
0.076813,0.007041
0.076875,0.012102
0.076938,-0.003129
0.077,0.02275
0.077063,0.033065
0.077125,-0.006776
0.077188,0.009466
0.07725,-0.020867
0.077313,-0.025043
0.077375,-0.014459
0.077438,0.01177
0.0775,-0.029088
0.077563,0.011036
0.077625,-0.003375
0.077688,-0.023404
0.07775,0.023419
0.077813,0.009216
0.077875,0.014379
0.077938,0.019442
0.078,-0.036659
0.078063,0.027482
0.078125,-0.006413
0.078188,-0.01685
0.07825,0.014244
0.078313,0.01931
0.078375,-0.010305
0.078438,0.018388
0.0785,-0.004645
0.078563,-0.006746
0.078625,0.002213
0.078688,-0.005569
0.07875,0.003624
0.078813,0.004594
0.078875,-0.011896
0.078938,-0.018872
0.079,-0.011118
0.079063,0.006189
0.079125,-0.018494
0.079188,0.002457
0.07925,-0.000356
0.079313,0.001043
0.079375,-0.009188
0.079438,0.010631
0.0795,0.003285
0.079563,-0.012066
0.079625,0.007514
0.079688,-0.001562
0.07975,-0.004524
0.079813,-0.024643
0.079875,0.003931
0.079938,0.012704
0.08,0.015196
0.080062,0.009705
0.080125,0.013107
0.080187,0.005887
0.08025,0.016125
0.080312,-0.002439
0.080375,0.009884
0.080437,-0.033287
0.0805,-0.010899
0.080562,-0.023875
0.080625,-0.029166
0.080687,0.001155
0.08075,0.008922
0.080812,0.003157
0.080875,-0.011309
0.080937,-0.006582
0.081,0.018847
0.081062,-0.000774
0.081125,0.004787
0.081187,-0.002859
0.08125,0.004511
0.081312,0.024021
0.081375,0.000151
0.081437,0.001855
0.0815,0.02636
0.081562,0.010329
0.081625,-0.001823
