# ECG signal · 250 Hz · 4 seconds · 1000 samples
# Synthetic · modelled on MIT-BIH Arrhythmia Database (PhysioNet)
# Goldberger et al. (2000) Circulation 101(23):e215. https://physionet.org/content/mitdb/
# McSharry et al. (2003) IEEE Trans Biomed Eng 50(3):289. doi:10.1109/TBME.2003.808805
# Events: 5 normal sinus beats + 1 PVC (beat 4) + baseline wander + 50 Hz artifact
time_s,signal_mV
2.08,0.083592
2.084,0.165478
2.088,0.129083
2.092,0.093237
2.096,0.117081
2.1,0.10753
2.104,0.184433
2.108,0.159228
2.112,0.174025
2.116,0.095167
2.12,0.179133
2.124,0.206674
2.128,0.178006
2.132,0.127078
2.136,0.105576
2.14,0.096204
2.144,0.187866
2.148,0.119507
2.152,0.098586
2.156,0.061838
2.16,0.091716
2.164,0.101325
2.168,0.0633
2.172,-0.004679
2.176,0.019415
2.18,0.000516
2.184,0.058103
2.188,0.039454
2.192,-0.053087
2.196,-0.056582
2.2,-0.03041
2.204,0.02482
2.208,-0.024847
2.212,-0.072934
2.216,-0.089282
2.22,-0.083736
2.224,-0.016121
2.228,-0.054222
2.232,-0.09304
2.236,-0.136224
2.24,-0.057224
2.244,-0.070846
2.248,-0.05453
2.252,-0.101418
2.256,-0.136988
2.26,-0.122341
2.264,-0.073913
2.268,-0.099297
2.272,-0.078335
2.276,-0.181399
2.28,-0.111321
2.284,-0.093067
2.288,-0.089746
2.292,-0.118018
2.296,-0.153392
2.3,-0.130441
2.304,-0.048702
2.308,-0.112239
2.312,-0.156127
2.316,-0.116912
2.32,-0.126703
2.324,-0.070312
2.328,-0.117044
2.332,-0.150616
2.336,-0.138571
2.34,-0.068305
2.344,-0.004436
2.348,-0.074419
2.352,-0.151089
2.356,-0.159652
2.36,-0.05162
2.364,-0.052766
2.368,-0.066624
2.372,-0.116562
2.376,-0.138698
2.38,-0.126216
2.384,-0.074828
2.388,-0.094595
2.392,-0.1699
2.396,-0.188808
2.4,-0.104751
2.404,-0.051316
2.408,-0.072315
2.412,-0.104243
2.416,-0.13256
2.42,-0.085434
2.424,-0.074931
2.428,-0.069808
2.432,-0.089318
2.436,-0.149042
2.44,-0.07683
2.444,-0.040092
2.448,-0.122262
2.452,-0.120519
2.456,-0.18842
2.46,-0.12636
2.464,-0.021811
2.468,-0.027867
2.472,-0.122026
2.476,-0.153794
2.48,-0.079736
2.484,-0.059264
2.488,-0.071411
2.492,-0.145625
2.496,-0.077299
2.5,-0.0407
2.504,-0.053038
2.508,-0.045112
2.512,-0.143758
2.516,-0.150747
2.52,-0.113756
2.524,-0.074962
2.528,-0.085495
2.532,-0.11212
2.536,-0.067294
2.54,-0.081572
2.544,-0.049279
2.548,-0.044218
2.552,-0.130449
2.556,-0.141125
2.56,-0.075383
2.564,-0.062869
2.568,-0.051636
2.572,-0.085588
2.576,-0.116106
2.58,-0.070572
2.584,-0.05197
2.588,-0.064753
2.592,-0.113006
2.596,-0.092529
2.6,-0.071013
2.604,0.005795
2.608,-0.001449
2.612,-0.068093
2.616,-0.071459
2.62,-0.068086
2.624,0.028859
2.628,0.038289
2.632,-0.000906
2.636,0.022451
2.64,0.065819
2.644,0.184351
2.648,0.224932
2.652,0.244037
2.656,0.32884
2.66,0.466982
2.664,0.630388
2.668,0.765579
2.672,0.844639
2.676,0.947616
2.68,1.168069
2.684,1.3539
2.688,1.429772
2.692,1.50535
2.696,1.616509
2.7,1.673549
2.704,1.729034
2.708,1.70251
2.712,1.61841
2.716,1.432908
2.72,1.412926
2.724,1.188277
2.728,1.085037
2.732,0.820082
2.736,0.555743
2.74,0.371896
2.744,0.174995
2.748,-0.038342
2.752,-0.280662
2.756,-0.413164
2.76,-0.545332
2.764,-0.627169
2.768,-0.725354
2.772,-0.814972
2.776,-0.803436
2.78,-0.793332
2.784,-0.720433
2.788,-0.732687
2.792,-0.795121
2.796,-0.658309
2.8,-0.613575
2.804,-0.530463
2.808,-0.434612
2.812,-0.446291
2.816,-0.450937
2.82,-0.351906
2.824,-0.314985
2.828,-0.250446
2.832,-0.264886
2.836,-0.321327
2.84,-0.283581
2.844,-0.234324
2.848,-0.21589
2.852,-0.295131
2.856,-0.321256
2.86,-0.313108
2.864,-0.267671
2.868,-0.294296
2.872,-0.372349
2.876,-0.371902
2.88,-0.308562
2.884,-0.311588
2.888,-0.367027
2.892,-0.417492
2.896,-0.44182
2.9,-0.426156
2.904,-0.423696
2.908,-0.410756
2.912,-0.471386
2.916,-0.486578
2.92,-0.418917
2.924,-0.399063
2.928,-0.404583
2.932,-0.456147
2.936,-0.490216
2.94,-0.465239
2.944,-0.42185
2.948,-0.410128
2.952,-0.401339
2.956,-0.448599
2.96,-0.391674
2.964,-0.336428
2.968,-0.379524
2.972,-0.36442
2.976,-0.3545
2.98,-0.360716
2.984,-0.251329
2.988,-0.256577
2.992,-0.32389
2.996,-0.316734
3.0,-0.220316
3.004,-0.183846
3.008,-0.210916
3.012,-0.236076
3.016,-0.183418
3.02,-0.181219
3.024,-0.140692
3.028,-0.1117
3.032,-0.110616
3.036,-0.109526
3.04,-0.071855
3.044,-0.056822
3.048,-0.057559
3.052,-0.106038
3.056,-0.093941
3.06,-0.007157
3.064,0.027586
3.068,-0.003784
3.072,-0.046334
3.076,-0.064704
3.08,0.012162
3.084,0.052884
3.088,-0.032412
3.092,0.000686
3.096,-0.041895
3.1,0.000836
3.104,0.062566
3.108,0.054933
3.112,0.021503
3.116,-0.007892
3.12,0.022961
3.124,0.103037
3.128,0.053101
3.132,0.064386
3.136,0.033928
3.14,0.088964
3.144,0.110538
3.148,0.063177
3.152,0.060926
3.156,0.02038
3.16,0.025426
3.164,0.11136
3.168,0.040815
3.172,0.046946
3.176,0.023954
3.18,0.053837
3.184,0.110747
3.188,0.095537
3.192,0.101226
3.196,0.002663
3.2,0.064899
3.204,0.080092
3.208,0.067105
3.212,0.079485
3.216,0.038178
3.22,0.060719
3.224,0.159508
3.228,0.061216
3.232,0.012712
3.236,0.027442
3.24,0.087854
3.244,0.119818
3.248,0.072172
3.252,0.024812
3.256,0.052546
3.26,0.082209
3.264,0.114456
3.268,0.160996
3.272,0.072357
3.276,0.079397
3.28,0.118985
3.284,0.156868
3.288,0.219452
3.292,0.136229
3.296,0.140982
3.3,0.220352
3.304,0.253101
3.308,0.199391
3.312,0.194418
3.316,0.189215
3.32,0.20421
3.324,0.208917
3.328,0.227455
3.332,0.189441
3.336,0.14563
3.34,0.212384
3.344,0.21777
3.348,0.17365
3.352,0.11319
3.356,0.099566
3.36,0.084827
3.364,0.189149
3.368,0.115641
3.372,0.059064
3.376,0.045056
3.38,0.076502
3.384,0.187983
3.388,0.118177
3.392,0.093262
3.396,0.05331
3.4,0.113684
3.404,0.119693
3.408,0.117084
3.412,0.071893
3.416,0.08125
3.42,0.127358
3.424,0.136797
3.428,0.111007
3.432,0.074
3.436,0.018039
3.44,0.067003
3.444,0.100872
3.448,0.058411
3.452,-0.022914
3.456,-0.007111
3.46,0.104363
3.464,0.231667
3.468,0.357162
3.472,0.476872
3.476,0.638438
3.48,0.916386
3.484,1.233631
3.488,1.349006
3.492,1.443399
3.496,1.452392
3.5,1.434683
3.504,1.262923
3.508,1.10638
3.512,0.75626
3.516,0.492599
3.52,0.303818
3.524,0.192322
3.528,0.077987
3.532,-0.093688
3.536,-0.128161
3.54,-0.093922
3.544,-0.047162
3.548,-0.02842
3.552,-0.022901
3.556,0.01443
3.56,0.105372
3.564,0.161418
3.568,0.134705
3.572,0.1056
3.576,0.106549
3.58,0.122039
3.584,0.238558
3.588,0.235489
3.592,0.205159
3.596,0.207217
3.6,0.212835
3.604,0.318641
3.608,0.249276
3.612,0.246647
3.616,0.209532
3.62,0.304363
3.624,0.341217
3.628,0.339884
3.632,0.309596
3.636,0.262574
3.64,0.354517
3.644,0.401196
3.648,0.319598
3.652,0.403294
3.656,0.38324
3.66,0.360372
3.664,0.436197
3.668,0.430732
3.672,0.402241
3.676,0.359575
3.68,0.394294
3.684,0.418219
3.688,0.423902
3.692,0.374418
3.696,0.326975
3.7,0.345852
3.704,0.431182
3.708,0.378299
3.712,0.324066
3.716,0.312695
3.72,0.314507
3.724,0.30456
3.728,0.340128
3.732,0.242921
3.736,0.200574
3.74,0.256712
3.744,0.314584
3.748,0.257398
3.752,0.207048
3.756,0.205948
3.76,0.190407
3.764,0.202616
3.768,0.181137
3.772,0.160405
3.776,0.135304
3.78,0.17673
3.784,0.188263
3.788,0.125415
3.792,0.069041
3.796,0.080308
3.8,0.117733
3.804,0.196618
3.808,0.119271
3.812,0.053568
3.816,0.075808
3.82,0.099679
3.824,0.105808
3.828,0.145138
3.832,0.113405
3.836,0.067129
3.84,0.08632
3.844,0.216993
3.848,0.151501
3.852,0.104605
3.856,0.084453
3.86,0.136144
3.864,0.135163
3.868,0.138546
3.872,0.104396
3.876,0.064173
3.88,0.094226
3.884,0.140702
3.888,0.094023
3.892,0.087946
3.896,0.120362
3.9,0.094222
3.904,0.13119
3.908,0.150233
3.912,0.066691
3.916,0.11267
3.92,0.128558
3.924,0.136873
3.928,0.149835
3.932,0.108541
3.936,0.126405
3.94,0.104425
3.944,0.14582
3.948,0.137915
3.952,0.115859
3.956,0.012425
3.96,0.125851
3.964,0.139418
3.968,0.120951
3.972,0.073363
3.976,0.044146
3.98,0.0946
3.984,0.20187
3.988,0.141625
3.992,0.061737
3.996,0.097685
