residue,imf1,imf2,imf3,imf4,imf5,imf6,imf7,imf8
-0.014226091,-0.003600649,-0.024458362,-0.028779213,0.012125112,0.072281411,0.029898154,0.014103225,0.017578636
-0.014229238,-0.002134746,-0.026445631,-0.034182792,0.013875446,0.071599641,0.029781206,0.014083305,0.017575032
-0.014232387,-0.006720913,-0.027370200,-0.039578852,0.015623622,0.070902885,0.029663377,0.014063280,0.017571410
-0.014235536,-0.017159489,-0.027437586,-0.044959469,0.017367415,0.070191294,0.029544674,0.014043150,0.017567770
-0.014238687,-0.013250814,-0.026853307,-0.050316717,0.019104601,0.069465019,0.029425103,0.014022913,0.017564112
-0.014241839,-0.010907728,-0.024710379,-0.055642671,0.020832953,0.068724209,0.029304669,0.014002572,0.017560436
-0.014244993,0.001292621,-0.022437512,-0.060929406,0.022550248,0.067969015,0.029183381,0.013982126,0.017556742
-0.014248147,0.013660584,-0.020350914,-0.066168996,0.024254259,0.067199587,0.029061243,0.013961576,0.017553031
-0.014251303,0.006567601,-0.018827881,-0.071353516,0.025942761,0.066416075,0.028938263,0.013940922,0.017549302
-0.014254460,-0.000174101,-0.017686499,-0.076475041,0.027613529,0.065618629,0.028814446,0.013920163,0.017545555
-0.014257619,-0.011691205,-0.016805939,-0.081525646,0.029264338,0.064807401,0.028689800,0.013899302,0.017541790
-0.014260779,-0.008110394,-0.016065377,-0.086497404,0.030892963,0.063982539,0.028564329,0.013878337,0.017538007
-0.014263940,-0.004366072,-0.015536266,-0.091382392,0.032497178,0.063144196,0.028438042,0.013857269,0.017534207
-0.014267102,-0.000909231,-0.014773470,-0.096172684,0.034074759,0.062292519,0.028310943,0.013836099,0.017530389
-0.014270265,0.007001415,-0.013524134,-0.100860354,0.035623479,0.061427661,0.028183040,0.013814827,0.017526554
-0.014273430,-0.002492865,-0.009935382,-0.105437478,0.037141114,0.060549771,0.028054339,0.013793453,0.017522700
-0.014276596,-0.012472318,-0.005932825,-0.109896129,0.038625439,0.059658999,0.027924846,0.013771977,0.017518829
-0.014279763,0.006638418,-0.001976568,-0.113349497,0.040074227,0.058755496,0.027794568,0.013750401,0.017514941
-0.014282932,0.015937204,0.001715242,-0.116675227,0.041485255,0.057839412,0.027663510,0.013728723,0.017511034
-0.014286102,0.017048529,0.002431365,-0.118784500,0.042856297,0.056910898,0.027531680,0.013706944,0.017507110
-0.014289273,0.013430883,0.002582383,-0.120544319,0.044185127,0.055970103,0.027399083,0.013685066,0.017503169
-0.014292445,0.009813758,0.002220295,-0.121734108,0.045469521,0.055017178,0.027265726,0.013663087,0.017499210
-0.014295619,-0.009073357,0.001397104,-0.122133290,0.046707253,0.054052273,0.027131616,0.013641009,0.017495233
-0.014298794,0.006014109,0.000649731,-0.121284868,0.048262545,0.052472670,0.026996758,0.013618831,0.017491239
-0.014301970,-0.006191490,0.000738868,-0.118916723,0.049766834,0.050881762,0.026861159,0.013596555,0.017487227
-0.014305147,0.014583961,-0.009142426,-0.109494442,0.051218003,0.049280071,0.026724826,0.013574179,0.017483198
-0.014308326,-0.009942268,-0.004189887,-0.099537976,0.052613936,0.047668123,0.026587764,0.013551706,0.017479151
-0.014311505,-0.037742539,0.003112281,-0.088589173,0.053952516,0.046046441,0.026449981,0.013529134,0.017475087
-0.014314687,-0.073415829,0.012501130,-0.076784521,0.055231628,0.044415548,0.026311482,0.013506465,0.017471005
-0.014317869,-0.101561115,0.023713711,-0.064260507,0.056449155,0.042775970,0.026172274,0.013483698,0.017466906
-0.014321053,-0.141777374,0.036487074,-0.051153621,0.057602981,0.041128228,0.026032363,0.013460834,0.017462789
-0.014324237,-0.193663583,0.050558271,-0.037600350,0.058690990,0.039472849,0.025891755,0.013437873,0.017458655
-0.014327424,-0.246818719,0.065664352,-0.023737183,0.059711064,0.037810354,0.025750457,0.013414816,0.017454503
-0.014330611,-0.275841759,0.081542369,-0.009700607,0.060661089,0.036141269,0.025608476,0.013391663,0.017450334
-0.014333800,-0.325331681,0.097929372,0.004372889,0.061538947,0.034466117,0.025465817,0.013368413,0.017446148
-0.014336989,-0.404887461,0.114562412,0.018346816,0.062342522,0.032785421,0.025322488,0.013345069,0.017441944
-0.014340181,-0.464108076,0.131178541,0.032084687,0.063069698,0.031099707,0.025178493,0.013321629,0.017437723
-0.014343373,-0.497196090,0.152118396,0.045450014,0.063718359,0.029409497,0.025033840,0.013298094,0.017433485
-0.014346567,-0.468955911,0.172324457,0.058306309,0.064286388,0.027715316,0.024888535,0.013274465,0.017429229
-0.014349761,-0.403795533,0.191342795,0.070517082,0.064771669,0.026017687,0.024742585,0.013250741,0.017424956
-0.014352957,-0.321122949,0.208719475,0.081945847,0.065172086,0.024317135,0.024595995,0.013226924,0.017420666
-0.014356155,-0.195346155,0.224000568,0.092456114,0.065485523,0.022614183,0.024448773,0.013203013,0.017416358
-0.014359353,-0.025873144,0.236732140,0.101911396,0.065709862,0.020909355,0.024300924,0.013179008,0.017412033
-0.014362553,0.212888090,0.246460261,0.110175205,0.065842988,0.019203175,0.024152455,0.013154911,0.017407691
-0.014365754,0.446529552,0.252730997,0.117111051,0.065882785,0.017496167,0.024003372,0.013130721,0.017403332
-0.014368957,0.600643247,0.255090417,0.122582448,0.065827136,0.015788855,0.023853681,0.013106439,0.017398955
-0.014372160,0.660821183,0.266055338,0.115819893,0.063336190,0.014081762,0.023703390,0.013082064,0.017394562
-0.014375365,0.634761415,0.229761793,0.107643561,0.060755153,0.012375413,0.023552503,0.013057598,0.017390151
-0.014378571,0.443836202,0.189642363,0.098240610,0.058091495,0.010670331,0.023401029,0.013033041,0.017385723
-0.014381778,0.151523854,0.147023577,0.087798201,0.055352687,0.008967041,0.023248972,0.013008392,0.017381277
-0.014384987,-0.123697321,0.103231965,0.076503494,0.052546199,0.007266065,0.023096339,0.012983653,0.017376815
-0.014388196,-0.263349013,0.059594056,0.064543649,0.049679502,0.005567929,0.022943138,0.012958823,0.017372335
-0.014391407,-0.273952914,0.017436380,0.052105826,0.046760066,0.003873156,0.022789373,0.012933903,0.017367839
-0.014394620,-0.209972155,-0.018973092,0.039377186,0.043795363,0.002182269,0.022635052,0.012908894,0.017363325
-0.014397833,-0.104823137,-0.051413120,0.026544888,0.040792863,0.000495793,0.022480180,0.012883795,0.017358794
-0.014401048,-0.019863706,-0.078721021,0.013796092,0.037760036,-0.001185748,0.022324765,0.012858606,0.017354246
-0.014404264,0.023548298,-0.099734114,0.001317958,0.034704353,-0.002861831,0.022168812,0.012833329,0.017349681
-0.014407481,0.014885508,-0.084120195,-0.010702354,0.031633285,-0.004531932,0.022012328,0.012807963,0.017345100
-0.014410699,0.000442478,-0.064132506,-0.021314155,0.028554302,-0.006195526,0.021855319,0.012782510,0.017340501
-0.014413919,0.010864696,-0.044826527,-0.031115457,0.025474875,-0.007852090,0.021697791,0.012756968,0.017335885
-0.014417140,0.009450921,-0.024674533,-0.039940742,0.022402475,-0.009501101,0.021539752,0.012731339,0.017331252
-0.014420362,0.013020367,-0.005669257,-0.047624495,0.019344572,-0.011142033,0.021381207,0.012705622,0.017326602
-0.014423585,0.013392251,0.010196565,-0.054001197,0.016308636,-0.012774364,0.021222162,0.012679818,0.017321935
-0.014426809,0.003444761,0.012810490,-0.051844593,0.013302140,-0.014397569,0.021062625,0.012653928,0.017317251
-0.014430035,-0.009083033,0.011730554,-0.048459793,0.010332552,-0.016011125,0.020902600,0.012627952,0.017312551
-0.014433262,-0.010393088,0.008395083,-0.044091164,0.007407344,-0.017614508,0.020742096,0.012601889,0.017307833
-0.014436490,0.009031437,0.003523604,-0.039206816,0.004757723,-0.019207193,0.020581117,0.012575741,0.017303099
-0.014439720,-0.008518180,0.000061209,-0.033826065,0.002166109,-0.020788657,0.020419671,0.012549508,0.017298347
-0.014442950,0.000742955,-0.000314170,-0.028418424,-0.000361344,-0.022358376,0.020257764,0.012523189,0.017293579
-0.014446182,0.004139062,0.000069078,-0.022986411,-0.002818480,-0.023915826,0.020095402,0.012496786,0.017288794
-0.014449415,-0.003149671,0.001253054,-0.017759000,-0.005199143,-0.025460484,0.019932591,0.012470298,0.017283992
-0.014452650,0.001909089,-0.000011515,-0.012525937,-0.007497178,-0.026991824,0.019769338,0.012443727,0.017279173
-0.014455885,0.007424259,-0.001425587,-0.007701869,-0.009706430,-0.028509325,0.019605649,0.012417071,0.017274338
-0.014459122,0.002748775,-0.002373365,-0.003262212,-0.011820742,-0.030012461,0.019441531,0.012390332,0.017269486
-0.014462360,0.003009570,-0.003013054,0.000817616,-0.013833960,-0.031500708,0.019276990,0.012363510,0.017264617
-0.014465599,-0.011919346,-0.003249930,0.004562199,-0.015739926,-0.032973544,0.019112032,0.012336605,0.017259731
-0.014468840,-0.022163966,-0.002625408,0.005549049,-0.015449280,-0.034430443,0.018946664,0.012309618,0.017254829
-0.014472081,-0.004136594,-0.000133503,0.006272476,-0.015050542,-0.035870883,0.018780891,0.012282548,0.017249909
-0.014475324,0.003819510,0.002526591,0.006779720,-0.014549029,-0.037294338,0.018614721,0.012255397,0.017244973
-0.014478568,0.022074775,0.004941992,0.007118020,-0.013950055,-0.038700286,0.018448160,0.012228164,0.017240021
-0.014481813,0.008139834,0.004788525,0.007105701,-0.013258937,-0.040088203,0.018281214,0.012200850,0.017235052
-0.014485060,0.009800442,0.004040449,0.006987533,-0.012480988,-0.041457564,0.018113889,0.012173455,0.017230066
-0.014488308,0.001982558,0.002760735,0.006779374,-0.011621526,-0.042807845,0.017946192,0.012145979,0.017225063
-0.014491557,-0.005387858,0.001012349,0.006497079,-0.010685863,-0.044138524,0.017778129,0.012118423,0.017220044
-0.014494807,0.004007352,-0.002533936,0.006156503,-0.009679317,-0.045449075,0.017609707,0.012090787,0.017215008
-0.014498058,0.001601628,-0.004322632,0.005773503,-0.008607202,-0.046738976,0.017440931,0.012063072,0.017209956
-0.014501311,-0.001164880,-0.005804960,0.005363934,-0.007474833,-0.048007702,0.017271809,0.012035277,0.017204887
-0.014504564,-0.009466249,-0.006817912,0.004943652,-0.006287526,-0.049254729,0.017102346,0.012007403,0.017199801
-0.014507819,-0.009538456,-0.006481158,0.004873085,-0.005050596,-0.050479533,0.016932549,0.011979450,0.017194699
-0.014511076,0.004831369,-0.005658801,0.004808254,-0.003769358,-0.051681591,0.016762424,0.011951419,0.017189581
-0.014514333,0.013794193,-0.004497621,0.004749754,-0.002449127,-0.052860378,0.016591978,0.011923310,0.017184446
-0.014517592,0.012500989,-0.003144397,0.004698176,-0.001095218,-0.054015372,0.016421217,0.011895124,0.017179294
-0.014520851,0.010956028,-0.001599210,0.004654116,0.000021290,-0.054880285,0.016250148,0.011866859,0.017174126
-0.014524112,-0.000619636,-0.000078921,0.004740028,0.000317159,-0.054998531,0.016078776,0.011838518,0.017168942
-0.014527375,-0.012151651,0.001346306,0.004833403,0.000707766,-0.055167176,0.015907108,0.011810100,0.017163741
-0.014530638,0.011264328,0.002776319,0.004933593,0.001129556,-0.055326215,0.015735150,0.011781606,0.017158523
-0.014533903,0.010395888,0.003447721,0.005039950,0.001579051,-0.055475719,0.015562910,0.011753035,0.017153289
-0.014537169,0.004781614,0.003826119,0.005151826,0.002052774,-0.055615762,0.015390392,0.011724389,0.017148039
-0.014540436,0.004431946,0.003905264,0.005268574,0.002547246,-0.055746415,0.015217604,0.011695667,0.017142773
-0.014543704,-0.000642672,0.003678902,0.005389545,0.003058990,-0.055867750,0.015044552,0.011666869,0.017137490
-0.014546973,-0.000431798,0.002910243,0.005744631,0.003584528,-0.055979838,0.014871242,0.011637997,0.017132190
-0.014550244,-0.004924989,0.001834649,0.006091571,0.004120382,-0.056082753,0.014697681,0.011609051,0.017126875
-0.014553516,0.007092626,-0.000747486,0.006418643,0.004663075,-0.056176566,0.014523874,0.011580030,0.017121543
-0.014556789,-0.001607240,-0.002592610,0.006714125,0.005209128,-0.056261350,0.014349829,0.011550935,0.017116194
-0.014560063,-0.010806215,-0.003903832,0.006966296,0.005755063,-0.056337175,0.014175552,0.011521767,0.017110830
-0.014563338,-0.015778940,-0.004391244,0.007163433,0.006297404,-0.056404115,0.014001048,0.011492525,0.017105449
-0.014566615,-0.013575786,-0.001853929,0.007158535,0.006832671,-0.056462241,0.013826325,0.011463210,0.017100052
-0.014569893,-0.011725035,0.001105862,0.007085675,0.007357388,-0.056511625,0.013651388,0.011433823,0.017094638
-0.014573172,0.000469298,0.003796893,0.006943650,0.007868076,-0.056552340,0.013476245,0.011404364,0.017089209
-0.014576452,0.008703202,0.005527922,0.006731254,0.008361257,-0.056584456,0.013300901,0.011374832,0.017083763
-0.014579734,-0.004912649,0.004555456,0.005845026,0.009073279,-0.056608048,0.013125363,0.011345228,0.017078301
-0.014583016,0.004751470,0.000372984,0.004901201,0.009764755,-0.056623186,0.012949637,0.011315554,0.017072822
-0.014586300,-0.007229855,-0.002108428,0.003913756,0.010436126,-0.056629942,0.012773729,0.011285808,0.017067328
-0.014589585,0.009126882,-0.002886641,0.002896670,0.011087829,-0.056628389,0.012597647,0.011255991,0.017061818
-0.014592871,0.005062066,-0.003216391,0.001863922,0.011720305,-0.056618598,0.012421395,0.011226104,0.017056291
-0.014596159,0.005737506,-0.003273841,0.000829490,0.012333992,-0.056600642,0.012244981,0.011196147,0.017050748
-0.014599447,-0.003788568,-0.003131573,-0.000192647,0.012929329,-0.056574593,0.012068411,0.011166120,0.017045189
-0.014602737,-0.003457924,-0.002862170,-0.001188510,0.013506755,-0.056540522,0.011891692,0.011136024,0.017039614
-0.014606028,-0.013212334,-0.002538214,-0.002144122,0.014066711,-0.056498502,0.011714829,0.011105858,0.017034023
-0.014609320,0.001338943,-0.001551425,-0.003058874,0.014609634,-0.056448605,0.011537829,0.011075624,0.017028416
-0.014612613,0.000916683,-0.000633125,-0.003922596,0.015135964,-0.056390902,0.011360698,0.011045321,0.017022793
-0.014615908,0.005574171,0.000166226,-0.004738487,0.015646139,-0.056325466,0.011183443,0.011014950,0.017017153
-0.014619203,0.010364693,0.000796169,-0.005509747,0.016140600,-0.056252369,0.011006070,0.010984511,0.017011498
-0.014622500,-0.009416935,0.000871221,-0.006146083,0.016619785,-0.056171683,0.010828586,0.010954004,0.017005827
-0.014625798,-0.008598720,0.000340618,-0.006769098,0.017084134,-0.056083480,0.010650996,0.010923430,0.017000140
-0.014629098,-0.002694322,-0.000254245,-0.007406900,0.017534084,-0.055987831,0.010473308,0.010892790,0.016994437
-0.014632398,0.008193658,-0.000783033,-0.008087598,0.017970077,-0.055884810,0.010295527,0.010862082,0.016988718
-0.014635700,0.008962620,-0.001115410,-0.008839300,0.018392549,-0.055774488,0.010117660,0.010831308,0.016982982
-0.014639002,0.009283555,-0.000894633,-0.009690117,0.018801942,-0.055656936,0.009939713,0.010800469,0.016977232
-0.014642306,-0.005578185,-0.000358317,-0.010668155,0.019198694,-0.055532228,0.009761693,0.010769563,0.016971465
-0.014645612,-0.010583658,0.000944537,-0.012263733,0.019583243,-0.055400435,0.009583606,0.010738592,0.016965682
-0.014648918,-0.010573168,0.002557467,-0.014180456,0.019956030,-0.055261629,0.009405458,0.010707557,0.016959883
-0.014652225,-0.000499246,0.004236473,-0.016222170,0.020317493,-0.055115882,0.009227255,0.010676456,0.016954069
-0.014655534,-0.000193669,0.005783809,-0.018359723,0.020668071,-0.054963266,0.009049005,0.010645291,0.016948238
-0.014658844,0.010511787,0.007001729,-0.020563967,0.021008204,-0.054803854,0.008870713,0.010614062,0.016942392
-0.014662155,-0.002215162,0.006692993,-0.022805752,0.021338330,-0.054637717,0.008692386,0.010582770,0.016936530
-0.014665467,-0.009458818,0.005912378,-0.025055929,0.021658889,-0.054464927,0.008514030,0.010551413,0.016930653
-0.014668781,-0.006303986,0.004715168,-0.027285347,0.021970319,-0.054285556,0.008335651,0.010519994,0.016924759
-0.014672095,-0.002835474,0.003156647,-0.029464857,0.022273061,-0.054099677,0.008157256,0.010488512,0.016918850
-0.014675411,-0.004138089,0.001292097,-0.031565310,0.022567553,-0.053907361,0.007978851,0.010456967,0.016912925
-0.014678728,0.005991639,-0.002111473,-0.033557556,0.022854234,-0.053708681,0.007800443,0.010425360,0.016906984
-0.014682046,-0.000655013,-0.003874864,-0.035412445,0.023133543,-0.053503708,0.007622038,0.010393692,0.016901027
-0.014685365,-0.013176344,-0.004929302,-0.037100829,0.023405919,-0.053292515,0.007443641,0.010361961,0.016895055
-0.014688685,0.001065163,-0.003642043,-0.037893339,0.023671802,-0.053075173,0.007265261,0.010330170,0.016889067
-0.014692007,0.009578139,-0.001821536,-0.038490534,0.023931631,-0.052852778,0.007087926,0.010298318,0.016883064
-0.014695330,0.012838992,0.000055779,-0.038892752,0.024185844,-0.052624378,0.006910618,0.010266405,0.016877045
-0.014698654,0.006722691,0.001114898,-0.039381440,0.024715987,-0.052390043,0.006733342,0.010234431,0.016871010
-0.014701979,-0.009051563,0.001636587,-0.039675282,0.025240843,-0.052149846,0.006556106,0.010202398,0.016864959
-0.014705305,-0.009107461,0.001244501,-0.039774069,0.025760301,-0.051903857,0.006378914,0.010170305,0.016858893
-0.014708633,0.001036931,-0.000922857,-0.038298058,0.026274251,-0.051652148,0.006201771,0.010138153,0.016852811
-0.014711961,0.001122094,-0.003204911,-0.036648132,0.026782583,-0.051394790,0.006024683,0.010105942,0.016846714
-0.014715291,0.005888508,-0.005629485,-0.034536772,0.027285186,-0.051131853,0.005847655,0.010073672,0.016840601
-0.014718622,0.003459870,-0.006000311,-0.032283766,0.027781949,-0.050863410,0.005670694,0.010041344,0.016834473
-0.014721954,-0.004507253,-0.005962858,-0.029900036,0.028272762,-0.050589531,0.005493805,0.010008958,0.016828329
-0.014725287,-0.012973081,-0.005545812,-0.027396502,0.028757515,-0.050310287,0.005316992,0.009976514,0.016822170
-0.014728622,-0.002953053,-0.003722634,-0.024784084,0.029236095,-0.050025750,0.005140262,0.009944012,0.016815995
-0.014731957,0.016745077,-0.001674475,-0.022073705,0.029708394,-0.049735991,0.004963621,0.009911454,0.016809805
-0.014735294,0.016258334,0.000472738,-0.019276285,0.030174300,-0.049441081,0.004787073,0.009878839,0.016803599
-0.014738632,0.010899620,0.002417200,-0.016402744,0.030633703,-0.049141092,0.004610624,0.009846167,0.016797378
-0.014741971,-0.004564653,0.004403594,-0.013464005,0.031086492,-0.048836094,0.004434280,0.009813439,0.016791141
-0.014745311,-0.015192195,0.006500727,-0.010470987,0.031532556,-0.048526158,0.004258046,0.009780655,0.016784889
-0.014748652,0.002979505,0.009757187,-0.007434611,0.031971786,-0.048211357,0.004081928,0.009747816,0.016778621
-0.014751995,0.010993832,0.013140684,-0.004365799,0.032404070,-0.047891761,0.003905931,0.009714922,0.016772338
-0.014755338,0.003914392,0.016598710,-0.001275471,0.032829298,-0.047567441,0.003730061,0.009681972,0.016766040
-0.014758683,0.006804790,0.020078755,0.001825451,0.033247359,-0.047238468,0.003554323,0.009648968,0.016759726
-0.014762029,-0.005669326,0.023926270,0.004926048,0.033658143,-0.046904914,0.003378723,0.009615910,0.016753397
-0.014765376,-0.006783808,0.026428203,0.008015397,0.034061539,-0.046566850,0.003203267,0.009582798,0.016747053
-0.014768725,-0.007682552,0.028739547,0.011082578,0.034457436,-0.046224347,0.003027959,0.009549633,0.016740693
-0.014772074,-0.003359118,0.030864957,0.014116671,0.034845724,-0.045877476,0.002852806,0.009516414,0.016734318
-0.014775425,0.011192936,0.032809091,0.017106754,0.035226293,-0.045526309,0.002677813,0.009483142,0.016727928
-0.014778776,0.010980049,0.034576604,0.020041906,0.035599031,-0.045170916,0.002502985,0.009449817,0.016721523
-0.014782129,0.006678058,0.035502758,0.022911206,0.035963829,-0.044811369,0.002328328,0.009416440,0.016715102
-0.014785483,-0.012359621,0.036245233,0.025703734,0.036320575,-0.044447739,0.002153847,0.009383011,0.016708666
-0.014788839,-0.005444226,0.036126364,0.028408568,0.036669159,-0.044080098,0.001979548,0.009349531,0.016702215
-0.014792195,0.001848224,0.035733266,0.031014788,0.037009470,-0.043708516,0.001805437,0.009315999,0.016695749
-0.014795552,0.014607660,0.034987105,0.033511473,0.037341398,-0.043333064,0.001631519,0.009282416,0.016689267
-0.014798911,-0.000609934,0.032342995,0.035887702,0.037664833,-0.042953814,0.001457800,0.009248782,0.016682770
-0.014802271,-0.000384357,0.030754386,0.036769999,0.037979663,-0.042570838,0.001284284,0.009215098,0.016676258
-0.014805632,-0.009829353,0.028968124,0.037525437,0.038285778,-0.042184205,0.001110978,0.009181363,0.016669731
-0.014808994,-0.008658690,0.026693635,0.038158536,0.038583067,-0.041793988,0.000937887,0.009147579,0.016663189
-0.014812357,0.007513785,0.024540423,0.038673814,0.038871421,-0.041400257,0.000765017,0.009113745,0.016656632
-0.014815721,-0.001567202,0.022759419,0.039075789,0.039150727,-0.041003085,0.000592373,0.009079863,0.016650060
-0.014819087,-0.005822524,0.021267154,0.039368980,0.039420876,-0.040602541,0.000419960,0.009045931,0.016643472
-0.014822454,0.004869602,0.019937501,0.039557907,0.039681758,-0.040198697,0.000247785,0.009011951,0.016636870
-0.014825821,-0.003838511,0.018113806,0.039647086,0.039933260,-0.039791625,0.000075852,0.008977922,0.016630252
-0.014829190,0.004012566,0.014832296,0.039641038,0.040175274,-0.039381395,-0.000095832,0.008943846,0.016623620
-0.014832560,0.007530481,0.010980981,0.039544280,0.040407688,-0.038968079,-0.000267263,0.008909722,0.016616972
-0.014835931,-0.004049900,0.007320652,0.039361332,0.040630392,-0.038551748,-0.000438435,0.008875551,0.016610310
-0.014839304,0.003264141,0.004854249,0.039096711,0.040843275,-0.038132474,-0.000609341,0.008841333,0.016603632
-0.014842677,0.004155043,0.003894989,0.038754938,0.041046226,-0.037710326,-0.000779978,0.008807068,0.016596940
-0.014846052,-0.000248697,0.003310033,0.038423471,0.041156194,-0.037285377,-0.000950339,0.008772757,0.016590232
-0.014849428,-0.004603951,0.002751910,0.038023401,0.041256496,-0.036857698,-0.001120418,0.008738400,0.016583510
-0.014852805,0.002043624,0.001261935,0.037558760,0.041347509,-0.036427360,-0.001290211,0.008703998,0.016576773
-0.014856183,0.008968222,-0.000438430,0.037033580,0.041429608,-0.035994433,-0.001459711,0.008669550,0.016570020
-0.014859562,-0.003962111,-0.002221573,0.036451892,0.041503169,-0.035558991,-0.001628914,0.008635057,0.016563253
-0.014862942,-0.006948776,-0.003890434,0.035817730,0.041568570,-0.035121102,-0.001797813,0.008600519,0.016556471
-0.014866323,-0.015210537,-0.005230595,0.035135123,0.041626186,-0.034680840,-0.001966403,0.008565937,0.016549674
-0.014869706,-0.000114928,-0.004878863,0.034408105,0.041676393,-0.034238274,-0.002134679,0.008531311,0.016542863
-0.014873090,0.004625424,-0.003307398,0.032821153,0.041719568,-0.033793476,-0.002302635,0.008496641,0.016536036
-0.014876474,0.014149120,-0.001484058,0.031203209,0.041756086,-0.033346518,-0.002470265,0.008461927,0.016529195
-0.014879860,-0.006192892,0.000230512,0.029563664,0.041786324,-0.032897470,-0.002637565,0.008427171,0.016522339
-0.014883247,-0.006450273,0.001876272,0.027911904,0.041810659,-0.032446404,-0.002804528,0.008392371,0.016515468
-0.014886636,-0.011460340,0.003280840,0.026257319,0.041829465,-0.031993391,-0.002971149,0.008357529,0.016508582
-0.014890025,-0.000692708,0.003919869,0.024593562,0.041843121,-0.031538501,-0.003137422,0.008322645,0.016501682
-0.014893415,0.000353794,0.004275090,0.022937417,0.041852000,-0.031081807,-0.003303343,0.008287719,0.016494767
-0.014896807,0.011548040,0.004476271,0.021289932,0.041856481,-0.030623380,-0.003468905,0.008252752,0.016487837
-0.014900200,0.008044890,0.004367193,0.019652157,0.041856939,-0.030163290,-0.003634102,0.008217743,0.016480893
-0.014903593,-0.005606835,0.004397675,0.018025138,0.041853750,-0.029701609,-0.003798931,0.008182694,0.016473933
-0.014906988,-0.009572324,0.004731548,0.016409925,0.041847290,-0.029238408,-0.003963384,0.008147604,0.016466959
-0.014910384,0.000465066,0.006050808,0.014807567,0.041837937,-0.028773758,-0.004127456,0.008112473,0.016459971
-0.014913782,0.005499318,0.007360114,0.013219110,0.041826065,-0.028307731,-0.004291143,0.008077303,0.016452968
